Date,Electricity Consumed (kWh),Cost per kWh (USD),Total Cost (USD),CO2 Emissions (kg CO2),,
01-03-2025,1400,0.12,168,560,,
02-03-2025,1450,0.12,174,580,,
03-03-2025,1500,0.12,180,600,,
04-03-2025,1600,0.12,192,640,,
05-03-2025,1550,0.12,186,620,,
06-03-2025,1400,0.12,168,560,,
07-03-2025,1350,0.12,162,540,,
08-03-2025,1300,0.12,156,520,,
09-03-2025,1200,0.12,144,480,,
10-03-2025,1250,0.12,150,500,,
11-03-2025,1300,0.12,156,520,,
12-03-2025,1400,0.12,168,560,,
13-03-2025,1450,0.12,174,580,,
14-03-2025,1500,0.12,180,600,,
15-03-2025,1550,0.12,186,620,,
16-03-2025,1600,0.12,192,640,,
17-03-2025,1450,0.12,174,580,,
18-03-2025,1400,0.12,168,560,,
19-03-2025,1300,0.12,156,520,,
20-03-2025,1250,0.12,150,500,,
21-03-2025,1200,0.12,144,480,,
22-03-2025,1300,0.12,156,520,,
23-03-2025,1400,0.12,168,560,,
24-03-2025,1450,0.12,174,580,,
25-03-2025,1500,0.12,180,600,,
26-03-2025,1550,0.12,186,620,,
27-03-2025,1600,0.12,192,640,,
28-03-2025,1450,0.12,174,580,,
29-03-2025,1400,0.12,168,560,,
30-03-2025,1300,0.12,156,520,,
31-03-2025,1250,0.12,150,500,,
