Date,Electricity Usage (kWh),Gas Usage (m³),CO2 Emissions (kg),Water Consumption (liters),
2025-03-01,800,50,320,1000,
2025-03-02,850,45,340,1100,
2025-03-03,870,52,348,1200,
2025-03-04,780,48,312,950,
2025-03-05,900,55,360,1300,
2025-03-06,880,47,352,1150,
2025-03-07,810,50,324,1050,
2025-03-08,860,53,344,1250,
2025-03-09,850,49,340,1200,
2025-03-10,830,51,332,1100,
2025-03-11,820,50,328,1075,
2025-03-12,860,54,344,1250,
2025-03-13,880,48,352,1150,
2025-03-14,900,55,360,1300,
2025-03-15,870,52,348,1200,
2025-03-16,810,50,324,1050,
2025-03-17,830,49,332,1100,
2025-03-18,860,53,344,1250,
2025-03-19,880,47,352,1150,
2025-03-20,850,50,340,1100,
2025-03-21,820,48,328,1075,
2025-03-22,800,55,320,1000,
2025-03-23,870,52,348,1200,
2025-03-24,860,49,344,1150,
2025-03-25,880,50,352,1200,
2025-03-26,900,47,360,1300,
2025-03-27,830,51,332,1100,
2025-03-28,820,48,328,1075,
2025-03-29,850,53,340,1150,
2025-03-30,870,50,348,1200,
2025-03-31,880,49,352,1150,
